     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
 GOV_I  9.9915e-01  9.9972e-01  9.9972e-01  9.9950e-01  9.9962e-01  9.9951e-01  9.9945e-01  9.9945e-01  9.9948e-01  9.9949e-01  9.9945e-01  9.9939e-01  9.9941e-01  9.9950e-01  9.9949e-01  9.9947e-01

     1         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   LND  1.1325e+00  1.0694e+00  1.0425e+00  9.4839e-01  1.0124e+00  1.1005e+00  1.0857e+00  1.0556e+00  1.0272e+00  1.0322e+00  1.0662e+00  1.1286e+00  1.1335e+00  1.0093e+00  1.0162e+00  1.0797e+00
   LAB  1.0000e+00  9.7546e-01  9.9720e-01  9.9871e-01  9.9779e-01  9.5852e-01  9.5169e-01  9.5791e-01  9.5229e-01  9.9822e-01  9.7966e-01  9.9189e-01  9.9601e-01  9.8397e-01  9.5867e-01  9.9830e-01
   CAP  9.8271e-01  9.9560e-01  9.7883e-01  9.7287e-01  9.8996e-01  9.7172e-01  9.9871e-01  9.9236e-01  9.8503e-01  9.8492e-01  9.9605e-01  9.9418e-01  9.9967e-01  9.9304e-01  1.0081e+00  9.6512e-01
   NAT  1.0201e+00  1.0474e+00  1.0265e+00  1.0532e+00  1.0223e+00  1.1239e+00  1.0450e+00  1.0922e+00  1.0806e+00  1.0289e+00  1.0299e+00  1.0142e+00  1.0105e+00  1.0426e+00  1.0157e+00  1.0791e+00
   AGF  1.0036e+00  9.9928e-01  9.9226e-01  9.8865e-01  9.9513e-01  9.9643e-01  1.0082e+00  9.9860e-01  9.8936e-01  9.9453e-01  9.9736e-01  9.9751e-01  1.0062e+00  9.8832e-01  9.8010e-01  9.9507e-01
   OIL  9.9651e-01  9.9848e-01  9.9531e-01  1.0010e+00  9.9990e-01  1.0117e+00  1.0061e+00  1.0102e+00  1.0068e+00  9.9899e-01  1.0006e+00  9.9895e-01  9.9841e-01  1.0040e+00  1.0049e+00  9.9882e-01
   GAS  9.9087e-01  9.9101e-01  9.9497e-01  9.9603e-01  9.9312e-01  9.9715e-01  1.0006e+00  1.0104e+00  9.6887e-01  9.9467e-01  9.9550e-01  9.9678e-01  9.9395e-01  9.9814e-01  1.0056e+00  9.9226e-01
   COL  9.9654e-01  9.9611e-01  9.9821e-01  1.0009e+00  1.0004e+00  1.0081e+00  1.0053e+00  1.0074e+00  9.9599e-01  9.9898e-01  9.9979e-01  9.9678e-01  9.9688e-01  1.0020e+00  9.9376e-01  1.0018e+00
   PTL  9.9740e-01  9.9592e-01  9.9453e-01  9.9969e-01  1.0014e+00  1.0008e+00  1.0024e+00  1.0019e+00  9.9729e-01  9.9752e-01  9.9833e-01  9.9879e-01  9.9752e-01  1.0016e+00  1.0015e+00  9.9578e-01
   MAN  9.9165e-01  9.8904e-01  9.8929e-01  9.8938e-01  9.9255e-01  9.7923e-01  9.8749e-01  9.7890e-01  9.8320e-01  9.9252e-01  9.8764e-01  9.9138e-01  9.9112e-01  9.8731e-01  9.8540e-01  9.8010e-01
   CHM  9.8576e-01  9.8683e-01  9.8729e-01  9.8957e-01  9.9035e-01  9.8621e-01  9.9094e-01  9.7749e-01  1.0011e+00  9.9206e-01  9.8236e-01  9.9009e-01  9.8202e-01  9.8043e-01  9.8630e-01  9.6696e-01
   CEM  9.8853e-01  9.8746e-01  9.8849e-01  9.9004e-01  9.9127e-01  9.8184e-01  9.9356e-01  9.7728e-01  9.9754e-01  9.9289e-01  9.8313e-01  9.9030e-01  9.8581e-01  9.8474e-01  9.8510e-01  9.7346e-01
   STL  9.8707e-01  9.8102e-01  9.8876e-01  9.9169e-01  9.8869e-01  9.8337e-01  9.9532e-01  9.7658e-01  1.0209e+00  9.9315e-01  9.7633e-01  9.8882e-01  9.7642e-01  9.8115e-01  9.8333e-01  9.6967e-01
   NFM  9.8566e-01  9.8612e-01  9.8628e-01  9.9420e-01  9.8934e-01  9.8225e-01  9.8856e-01  9.7487e-01  9.9573e-01  9.9352e-01  9.8125e-01  9.8886e-01  9.8304e-01  9.8273e-01  9.8844e-01  9.7076e-01
   ELC  9.7488e-01  9.9273e-01  9.8650e-01  9.8582e-01  9.9341e-01  9.8454e-01  9.9371e-01  9.8616e-01  9.8173e-01  9.9243e-01  9.9269e-01  9.9332e-01  9.9537e-01  9.9602e-01  9.9257e-01  9.8923e-01
   WND  9.8318e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   SLR  9.8312e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   NUC  9.9098e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   HYD  9.9223e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   CFP  9.7328e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   BGA  9.7110e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   PGA  9.6565e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   POI  9.5671e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   TRN  9.7960e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
