     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   SOA  4.2968e+00  1.6822e-01  3.8611e-01  5.4846e-01  1.5236e+00  3.6003e+00  2.0327e+00  2.2746e+00  1.1591e+02  2.5083e-01  3.3673e-01  7.4565e+00  6.4798e-01  3.2033e+00  5.3708e-01  5.2426e-01
   BRA  3.3218e+01  2.7513e+00  2.0529e+00  1.0260e+00  4.9516e+00  9.8422e+00  2.9949e+00  1.0790e+00  4.5253e-01  2.5003e+02  1.3793e+01  2.6431e+01  3.0264e+00  6.1155e+00  4.3616e+00  1.9276e+00
   LAM  1.2778e+02  1.0044e+01  8.2729e+00  2.9179e+00  1.1880e+01  2.2260e+01  5.7593e+00  1.9869e+00  9.6427e-01  1.8556e+01  5.0038e+02  6.5431e+01  6.0638e+00  8.6105e+00  4.2674e+00  4.8374e+00
   WEU  2.1677e+02  1.1069e+01  1.8468e+01  1.6156e+01  4.6121e+01  8.3360e+01  3.2095e+01  1.3330e+01  6.6754e+00  1.3782e+01  2.3400e+01  2.8450e+03  9.1288e+01  8.0722e+01  3.7271e+01  2.9629e+01
   REU  5.3672e+01  2.8323e+00  5.2660e+00  4.7728e+00  1.3801e+01  2.8878e+01  1.1968e+01  4.3576e+00  2.0453e+00  4.6513e+00  7.0778e+00  2.6440e+02  8.6722e+02  3.5317e+01  7.8490e+00  3.6021e+01
   MNA  1.3546e+02  6.9318e+00  9.7017e+00  1.3751e+01  1.0939e+02  1.2903e+02  4.1287e+01  4.0260e+01  3.1721e+01  1.3437e+01  1.2347e+01  2.7094e+02  2.9104e+01  1.3179e+03  3.1946e+01  2.2573e+01
   AFR  2.8100e+01  1.6170e+00  2.5481e+00  3.0169e+00  1.1015e+01  1.6343e+01  6.1563e+00  6.8660e+00  1.0437e+00  4.0048e+00  2.6057e+00  6.9399e+01  5.8446e+00  1.2936e+01  3.8196e+02  3.5007e+00
   RUS  1.0714e+02  5.3240e+00  7.8764e+00  6.3394e+00  3.4427e+01  8.2993e+01  2.0570e+01  1.0227e+01  5.2130e+00  9.4022e+00  1.7006e+01  3.0436e+02  8.8686e+01  6.5874e+01  9.3565e+00  1.6511e+03

     3         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   USA  5.3235e+03  8.8184e+01  1.0957e+02  2.1778e+01  8.2994e+01  1.5025e+02  4.3858e+01  1.1124e+01  6.0464e+00  1.6536e+01  6.3292e+01  2.6042e+02  2.3365e+01  4.9471e+01  2.0786e+01  1.4847e+01
