     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
 NFM_I  5.3807e+01  5.4850e+00  1.2038e+01  7.7122e+00  3.7269e+01  9.2439e+01  3.3491e+01  2.7453e+01  2.6132e+00  2.4420e+00  3.5597e+00  1.4619e+02  1.7305e+01  3.5587e+01  6.3055e+00  4.7511e+00
 ELC_I  9.3949e+00  0.0000e+00  1.0006e+01  2.1273e-01  0.0000e+00  4.9833e+00  1.4565e+00  6.6097e-01  1.3725e-01  1.3882e+01  4.1386e+00  7.2405e+01  3.3258e+01  3.2305e+00  1.0129e+01  1.5896e+01
 TRL_I  7.3562e+01  2.8401e+00  7.1025e+00  7.1612e+00  1.8952e+01  3.3569e+01  1.5453e+01  1.9006e+00  1.0679e+00  1.5470e+00  7.3585e+00  1.6417e+02  1.8839e+01  1.5236e+01  5.1215e+00  1.2784e+01
 TRA_I  5.1021e+01  4.8081e+00  1.0638e+01  1.0269e+01  2.9674e+01  2.4654e+01  1.0807e+01  9.1389e-01  5.8213e+00  3.3084e+00  1.0538e+01  1.3779e+02  1.1791e+01  1.2039e+01  6.2134e+00  4.5962e+00
 TRS_I  5.7021e+00  2.6411e-01  1.7060e+00  2.6208e+00  1.5452e+01  1.1791e+01  7.2872e+00  4.6347e+00  9.2103e-01  2.3789e+00  3.6602e+00  6.6894e+01  4.1233e+00  5.3766e+00  1.3505e+00  1.4521e+00
 OTS_I  5.8568e+01  4.2763e+00  1.3022e+01  7.1381e+00  3.4436e+01  5.2029e+01  2.3559e+01  5.2193e+00  1.6521e+00  4.1164e+00  8.3096e+00  2.1210e+02  2.6632e+01  1.6856e+01  7.8983e+00  9.8706e+00
 GOV_I  1.1721e+01  7.0441e-01  1.4157e+00  8.8082e-01  3.6223e+00  3.3603e+00  1.5109e+00  2.9858e-01  2.0929e-01  4.5852e-01  1.0823e+00  1.5410e+01  1.8635e+00  6.1589e+00  9.9401e-01  1.1397e+00
 INV_H  4.9714e+01
 TRL_H  1.8049e+02
 TRA_H  1.0232e+02
 TRS_H  3.8546e+02

     1         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   LND  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   LAB  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   CAP  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   NAT  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   AGF  2.5247e+02  3.2246e+01  3.7514e+01  3.7266e+01  7.5346e+01  6.3149e+02  7.1601e+01  1.9213e+02  2.9530e+01  6.0279e+01  7.3415e+01  2.1911e+02  1.4799e+02  1.3193e+02  5.4989e+01  1.8301e+02
   OIL  4.3306e+01  2.9799e+01  2.1847e+01  5.5773e+00  2.2272e-02  9.4486e+01  1.2201e+01  4.7099e+00  4.5611e-01  1.2365e+01  3.1743e+01  2.0527e+01  4.8227e+00  1.2551e+02  2.0786e+01  1.2965e+02
   GAS  1.0680e+02  2.5218e+01  4.2018e+01  9.4503e+00  1.5605e-01  9.3819e+01  1.8581e+01  6.3258e+00  1.3918e+00  8.1967e+00  2.9353e+01  3.5975e+01  1.4880e+01  5.9360e+01  2.5767e+01  1.1365e+02
   COL  2.5143e+01  1.8616e-03  1.5755e+00  8.5235e+00  7.1248e-03  1.8657e+02  2.6522e+00  3.9228e+00  5.0493e-02  4.3998e-02  1.2429e+00  4.7663e+00  1.6984e+01  7.1553e-01  1.1132e+01  2.4042e+01
   PTL  3.5204e+03  3.0859e+02  3.7432e+02  1.7207e+02  1.0321e+03  2.9426e+03  6.7733e+02  5.5382e+02  5.5169e+01  3.8095e+02  6.1357e+02  2.9598e+03  7.3949e+02  1.6200e+03  2.4723e+02  1.0257e+03
   MAN  2.2395e+03  2.2354e+02  2.4901e+02  1.5815e+02  8.3997e+02  4.3921e+03  6.5873e+02  5.2762e+02  7.0480e+01  1.7756e+02  2.2728e+02  2.3236e+03  6.4201e+02  4.8107e+02  2.1809e+02  4.0008e+02
   CHM  9.4040e+02  6.7869e+01  8.6199e+01  3.2077e+01  4.2567e+02  1.8761e+03  2.0896e+02  2.2079e+02  1.1987e+01  8.9168e+01  9.3120e+01  8.4499e+02  1.9757e+02  2.3246e+02  7.6821e+01  1.8667e+02
   CEM  1.6028e+02  1.9729e+01  1.2898e+01  1.6775e+01  5.9285e+01  7.5915e+02  9.4968e+01  6.3598e+01  2.2728e+01  2.3215e+01  3.2480e+01  2.1737e+02  8.5842e+01  6.2626e+01  2.5545e+01  6.8958e+01
   STL  1.8748e+02  2.7185e+01  2.5208e+01  2.6497e+01  1.9767e+02  1.1618e+03  4.8213e+01  1.2424e+02  4.3411e+00  5.4334e+01  4.8813e+01  2.4081e+02  1.4829e+02  8.7388e+01  5.7609e+01  1.9535e+02
   NFM  1.4659e+02  7.1206e+00  3.4866e+01  7.6846e+01  5.1522e+01  3.4989e+02  2.5974e+01  4.7301e+01  4.8174e+00  1.8543e+01  3.3497e+01  1.3622e+02  4.5164e+01  4.8008e+01  3.9959e+01  1.4828e+02
   ELC  2.5231e+03  1.4030e+02  1.4028e+02  2.2632e+02  4.5978e+02  3.0632e+03  3.1060e+02  7.3345e+02  6.1447e+01  3.8860e+01  1.9293e+02  1.1368e+03  6.6780e+02  6.8168e+02  2.7356e+02  1.1165e+03
