       0                LAB         CAP
    CON1    WEU  1.3363e+00  1.3387e+00
    CON1    REU  1.6422e+00  1.5547e+00
    CON1    MNA  1.7715e+00  1.9010e+00
    CON1    AFR  1.8971e+00  1.4962e+00
    CON1    RUS  1.4458e+00  3.7274e+00

      18                LAB         CAP
    CON1    USA  1.5680e+00  1.9645e+00
    CON1    MEX  1.3679e+00  1.7207e+00
    CON1    CAN  1.5067e+00  1.8908e+00
    CON1    OCN  1.6877e+00  2.1741e+00
    CON1    JAP  1.1958e+00  1.4569e+00
    CON1    EAA  3.7562e+00  4.5731e+00
    CON1    SEA  2.6245e+00  1.6954e+00
    CON1    IND  2.9040e+00  3.4002e+00
    CON1    SOA  2.5048e+00  2.5757e+00
    CON1    BRA  1.2639e+00  1.5056e+00
    CON1    LAM  1.6273e+00  1.8913e+00
    CON1    WEU  1.3514e+00  1.3621e+00
    CON1    REU  1.6863e+00  1.5983e+00
    CON1    MNA  1.8212e+00  1.9716e+00
    CON1    AFR  1.9565e+00  1.5373e+00
    CON1    RUS  1.4590e+00  3.9462e+00

      19                LAB         CAP
    CON1    USA  1.6046e+00  2.0301e+00
    CON1    MEX  1.3847e+00  1.7699e+00
    CON1    CAN  1.5302e+00  1.9492e+00
    CON1    OCN  1.7332e+00  2.2588e+00
    CON1    JAP  1.2092e+00  1.4839e+00
    CON1    EAA  4.0319e+00  4.9293e+00
    CON1    SEA  2.7569e+00  1.7552e+00
    CON1    IND  3.0772e+00  3.6166e+00
    CON1    SOA  2.6153e+00  2.7072e+00
    CON1    BRA  1.2746e+00  1.5359e+00
    CON1    LAM  1.6619e+00  1.9530e+00
    CON1    WEU  1.3666e+00  1.3858e+00
    CON1    REU  1.7319e+00  1.6432e+00
    CON1    MNA  1.8714e+00  2.0443e+00
    CON1    AFR  2.0346e+00  1.5799e+00
    CON1    RUS  1.4728e+00  4.1706e+00

      20                LAB         CAP
    CON1    USA  1.6419e+00  2.0971e+00
    CON1    MEX  1.4012e+00  1.8200e+00
    CON1    CAN  1.5548e+00  2.0084e+00
    CON1    OCN  1.7795e+00  2.3458e+00
    CON1    JAP  1.2233e+00  1.5112e+00
    CON1    EAA  4.3038e+00  5.3095e+00
    CON1    SEA  2.8951e+00  1.8179e+00
    CON1    IND  3.2369e+00  3.8452e+00
    CON1    SOA  2.7294e+00  2.8442e+00
    CON1    BRA  1.2849e+00  1.5663e+00
    CON1    LAM  1.6966e+00  2.0161e+00
    CON1    WEU  1.3821e+00  1.4098e+00
    CON1    REU  1.7794e+00  1.6895e+00
    CON1    MNA  1.9223e+00  2.1194e+00
    CON1    AFR  2.0961e+00  1.6244e+00
    CON1    RUS  1.4876e+00  4.4010e+00

